"r" "n" "Z" "logr" "logZ" "r_star" "p"
1 324548 324548 0 12.6901887240639 0.248678161627864 2.6653416657971e-07
2 40354 40354 0.693147180559945 10.6054458013746 1.16464291024434 1.24826854683552e-06
3 15666 15666 1.09861228866811 9.65924803792718 2.02144772117962 2.16659508869674e-06
4 7917 7917 1.38629436111989 8.97676762517143 3.0231671697591 3.24024167119544e-06
5 4947 4947 1.6094379124341 8.50653661122771 3.97756553772223 4.26316934576447e-06
6 3519 3519 1.79175946922805 8.16593213732158 4.94481187026721 5.29986751593973e-06
7 2385 2385 1.94591014905531 7.77695440332244 5.92014918172122 6.3452376270133e-06
8 1803 1803 2.07944154167984 7.49720722320332 6.9009100214164 7.3964206955666e-06
9 1392 1392 2.19722457733622 7.23849684089437 7.88548305756559 8.45168969027464e-06
10 1150 1150 2.30258509299405 7.0475172213573 8.87283759939497 9.50993991298217e-06
11 911 911 2.39789527279837 6.81454289725996 9.8622837226116 1.05704319002992e-05
12 756 756 2.484906649788 6.62804137617953 10.8533422144099 1.16326520301813e-05
13 629 629 2.56494935746154 6.44413125670044 11.8456698487083 1.26962324316543e-05
14 551 551 2.63905732961526 6.31173480915291 12.8390143509161 1.37609027158858e-05
15 474 474 2.70805020110221 6.16120732169508 13.8331861463309 1.48264596960137e-05
16 438 438 2.77258872223978 6.08221891037645 14.8280400222881 1.5892747732571e-05
17 399 399 2.83321334405622 5.98896141688986 15.823462870041 1.69596455951876e-05
18 332 332 2.89037175789616 5.80513496891649 16.8193652780719 1.80270574522708e-05
19 282 282 2.94443897916644 5.64190707093811 17.8156756354033 1.9094906550912e-05
20 256 256 2.99573227355399 5.54517744447956 18.8123359120897 2.01631306944025e-05
21 245 245 3.04452243772342 5.50125821054473 19.809298585568 2.12316789478847e-05
22 233 233 3.09104245335832 5.4510384535657 20.8065243655702 2.23005091999052e-05
23 215 215 3.13549421592915 5.37063802812766 21.8039804856038 2.33695863312169e-05
24 171 171 3.17805383034795 5.14166355650266 22.8016394029574 2.44388808214407e-05
25 170 170 3.2188758248682 5.13579843705026 23.7994777976406 2.55083676761252e-05
26 143 143 3.25809653802148 4.96284463025991 24.7974757930246 2.65780255914268e-05
27 147 147 3.29583686600433 4.99043258677874 25.7956163429417 2.76478362972004e-05
28 144 144 3.3322045101752 4.969813299576 26.7938847451929 2.8717784035575e-05
29 128 128 3.36729582998647 4.85203026391962 27.7922682520583 2.97878551434976e-05
30 116 116 3.40119738166216 4.75359019110636 28.7907557559713 3.08580377158376e-05
31 106 106 3.43398720448515 4.66343909411207 29.789337533963 3.19283213314814e-05
32 107 107 3.46573590279973 4.67282883446191 30.7880050384432 3.29986968290902e-05
33 96 96 3.49650756146648 4.56434819146784 31.7867507248045 3.40691561223261e-05
34 71 71 3.52636052461616 4.26267987704132 32.7855679085042 3.51396920466719e-05
35 66 66 3.55534806148941 4.18965474202643 33.7844506459063 3.62102982317166e-05
36 69 69 3.58351893845611 4.23410650459726 34.7833936343994 3.72809689941018e-05
37 76 76 3.61091791264422 4.33073334028633 35.7823921282489 3.83516992473317e-05
38 71 71 3.63758615972639 4.26267987704132 36.7814418673641 3.94224844254257e-05
39 63 63 3.66356164612965 4.14313472639153 37.7805390167278 4.04933204179978e-05
40 55 55 3.68887945411394 4.00733318523247 38.7796801146698 4.15642035148177e-05
41 56 56 3.71357206670431 4.02535169073515 39.778862028514 4.26351303582713e-05
42 37 37 3.73766961828337 3.61091791264422 40.7780819164022 4.37060979024448e-05
43 45 45 3.76120011569356 3.80666248977032 41.7773371943129 4.47771033777742e-05
44 49 49 3.78418963391826 3.89182029811063 42.7766255074683 4.58481442604002e-05
45 38 38 3.80666248977032 3.63758615972639 43.775944705465 4.69192182455125e-05
46 39 39 3.8286413964891 3.66356164612965 44.7752928205724 4.79903232240902e-05
47 44 44 3.85014760171006 3.78418963391826 45.7746680487384 4.90614572625436e-05
48 38 38 3.87120101090789 3.63758615972639 46.7740687329193 5.01326185848473e-05
49 29 29 3.89182029811063 3.36729582998647 47.7734933484023 5.12038055568085e-05
50 38 38 3.91202300542815 3.63758615972639 48.7729404898565 5.22750166721882e-05
51 36 36 3.93182563272433 3.58351893845611 49.7724088598719 5.33462505404177e-05
52 31 31 3.95124371858143 3.43398720448515 50.7718972587951 5.44175058757043e-05
53 30 30 3.97029191355212 3.40119738166216 51.7714045756931 5.54887814873455e-05
54 28 28 3.98898404656427 3.3322045101752 52.7709297802997 5.65600762710986e-05
55 27 27 4.00733318523247 3.29583686600433 53.7704719158252 5.76313892014727e-05
56 26 26 4.02535169073515 3.25809653802148 54.7700300925208 5.87027193248318e-05
57 25 25 4.04305126783455 3.2188758248682 55.7696034819071 5.97740657532087e-05
58 25 25 4.06044301054642 3.2188758248682 56.7691913115907 6.08454276587492e-05
59 19 19 4.07753744390572 2.94443897916644 57.7687928605968 6.19168042687099e-05
60 22 22 4.0943445622221 3.09104245335832 58.7684074551593 6.29881948609459e-05
61 13 13 4.11087386417331 2.56494935746154 59.7680344649212 6.40595987598382e-05
62 17 17 4.12713438504509 2.83321334405622 60.7676732994925 6.51310153326046e-05
63 24 24 4.14313472639153 3.17805383034795 61.7673234053326 6.62024439859582e-05
64 20 20 4.15888308335967 2.99573227355399 62.7669842629195 6.72738841630736e-05
65 26 26 4.17438726989564 3.25809653802148 63.7666553841764 6.83453353408282e-05
66 21 21 4.18965474202643 3.04452243772342 64.7663363101275 6.94167970272899e-05
67 23 23 4.20469261939097 3.13549421592915 65.7660266087608 7.04882687594269e-05
68 19 19 4.21950770517611 2.94443897916644 66.7657258730781 7.1559750101017e-05
69 17 17 4.23410650459726 2.83321334405622 67.7654337193082 7.26312406407326e-05
70 19 19 4.24849524204936 2.94443897916644 68.7651497852756 7.37027399903929e-05
71 15 15 4.26267987704132 2.70805020110221 69.7648737289006 7.47742477833555e-05
72 14 14 4.27666611901606 2.63905732961526 70.7646052268262 7.58457636730452e-05
73 13 13 4.29045944114839 2.56494935746154 71.7643439731527 7.69172873315976e-05
74 20 20 4.30406509320417 2.99573227355399 72.7640896782778 7.79888184486159e-05
75 12 12 4.31748811353631 2.484906649788 73.7638420678223 7.90603567300195e-05
76 20 20 4.33073334028633 2.99573227355399 74.7636008816457 8.01319018969887e-05
77 12 12 4.34380542185368 2.484906649788 75.7633658729331 8.12034536849866e-05
78 15 15 4.35670882668959 2.70805020110221 76.7631368073524 8.22750118428551e-05
79 13 13 4.36944785246702 2.56494935746154 77.762913462276 8.3346576131981e-05
80 11 11 4.38202663467388 2.39789527279837 78.762695626058 8.44181463255216e-05
81 10 10 4.39444915467244 2.30258509299405 79.7624830973668 8.54897222076889e-05
82 16 16 4.40671924726425 2.77258872223978 80.762275684562 8.65613035730821e-05
83 7 7 4.4188406077966 1.94591014905531 81.7620732051211 8.76328902260727e-05
84 12 12 4.43081679884331 2.484906649788 82.7618754851004 8.87044819802275e-05
85 4 4 4.44265125649032 1.38629436111989 83.761682358641 8.97760786577781e-05
86 13 13 4.45434729625351 2.56494935746154 84.7614936674991 9.08476800891183e-05
87 9 9 4.46590811865458 2.19722457733622 85.7613092606194 9.19192861123464e-05
88 9 9 4.47733681447821 2.19722457733622 86.7611289937276 9.29908965728288e-05
89 12 12 4.48863636973214 2.484906649788 87.7609527289557 9.40625113227979e-05
90 10 10 4.49980967033027 2.30258509299405 88.7607803344905 9.51341302209761e-05
91 12 12 4.51085950651685 2.484906649788 89.7606116842434 9.62057531322208e-05
92 13 13 4.52178857704904 2.56494935746154 90.7604466575458 9.72773799271993e-05
93 8 8 4.53259949315326 2.07944154167984 91.7602851388575 9.83490104820749e-05
94 13 13 4.54329478227 2.56494935746154 92.7601270174989 9.94206446782211e-05
95 7 7 4.55387689160054 1.94591014905531 93.7599721873991 0.000100492282401951
96 19 19 4.56434819146784 2.94443897916644 94.7598205468564 0.000101563923544259
97 10 10 4.57471097850338 2.30258509299405 95.7596719983166 0.000102635568000587
98 13 13 4.58496747867057 2.56494935746154 96.7595264481645 0.000103707215670599
99 13 13 4.59511985013459 2.56494935746154 97.7593838065245 0.000104778866457964
100 5 5 4.60517018598809 1.6094379124341 98.7592439870796 0.000105850520270169
101 5 5 4.61512051684126 1.6094379124341 99.7591069068934 0.000106922177018321
102 6 6 4.62497281328427 1.79175946922805 100.758972486248 0.000107993836616978
103 6 6 4.63472898822964 1.79175946922805 101.758840648489 0.000109065498983983
104 2 2 4.64439089914137 0.693147180559945 102.758711319881 0.000110137164040304
105 6 6 4.65396035015752 1.79175946922805 103.758584429466 0.000111208831709891
106 4 4 4.66343909411207 1.38629436111989 104.75845990894 0.000112280501919533
107 11 11 4.67282883446191 2.39789527279837 105.758337692523 0.000113352174598727
108 11 11 4.68213122712422 2.39789527279837 106.758217716851 0.000114423849679561
109 4 4 4.69134788222914 1.38629436111989 107.758099920859 0.000115495527096583
110 7 7 4.70048036579242 1.94591014905531 108.757984245684 0.000116567206786704
111 9 9 4.70953020131233 2.19722457733622 109.75787063456 0.000117638888689082
112 7 7 4.71849887129509 1.94591014905531 110.75775903273 0.000118710572745031
113 4 4 4.72738781871234 1.38629436111989 111.757649387361 0.00011978225889792
114 5 5 4.7361984483945 1.6094379124341 112.75754164745 0.000120853947093087
